Id,Country,TotalCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases1Mpop,Deaths1Mpop,TotalTests,Tests1Mpop,Population
78,Paraguay,716059,19583,0,696110,366,7,98012,2680,2657506,363751,7305843
79,Bahrain,680271,1520,0,675724,3027,2,381321,852,10376306,5816370,1783983
80,Sri Lanka,670763,16761,0,653779,223,270,31089,777,6486117,300619,21575842
81,Kuwait,658520,2563,0,655316,641,3,150336,585,8365279,1909739,4380326
82,Dominican Republic,644016,4384,0,638911,721,4,58248,397,3657057,330765,11056370
83,Myanmar,622802,19458,0,597898,5446,270,11277,352,9056450,163985,55227143
84,Palestine,620548,5403,0,608749,6396,17,116087,1011,3078533,575907,5345541
85,Estonia,601869,2681,0,524990,74198,4,455303,2028,3536858,2675566,1321910
86,Moldova,589388,11844,0,504142,73402,49,146863,2951,3216305,801437,4013171
87,Cyprus,585313,1180,0,578452,5681,60,478437,965,9640118,7879860,1223387
88,Venezuela,544687,5814,0,538033,840,36,18611,199,3359014,114771,29266991
89,Egypt,515645,24613,0,442182,48850,122,4857,232,3693367,34792,106156692
90,Libya,506991,6437,0,500507,47,101,72008,914,2481983,352517,7040745
91,Ethiopia,493563,7572,0,471918,14073,1,4085,63,5258807,43529,120812698
92,Réunion,472336,893,0,418572,52871,10,520159,983,1603660,1766027,908061
93,Honduras,456391,10993,0,2807254,57448,105,44651,1076,1528531,149544,10221247
94,Qatar,450448,682,0,443418,6348,4,151161,229,3951470,1326034,2979915
95,Armenia,442875,8683,0,430192,4000,270,149018,2922,3210961,1080416,2971966
96,Bosnia and Herzegovina,398668,16136,0,376654,5878,270,122693,4966,1861041,572748,3249317
97,Oman,397993,4260,0,384669,9064,2,74755,800,25000000,4695724,5323993
98,North Macedonia,342775,9534,0,332806,435,270,164692,4581,2130257,1023520,2081304
99,Kenya,338420,5678,0,332663,79,1,6020,101,3881967,69055,56215221
100,Zambia,333531,4017,0,329375,139,270,17130,206,3731374,191645,19470234
101,Albania,332173,3588,0,326729,1856,270,115886,1252,1941032,677173,2866374
102,Botswana,326308,2789,0,322955,564,1,133669,1142,2026898,830300,2441162
103,Luxembourg,288658,1123,0,283668,3867,270,449363,1748,4402293,6853194,642371
104,Montenegro,280002,2781,0,276154,1067,6,445899,4429,2624193,4178984,627950
105,Algeria,270668,6879,0,182306,81483,6,5968,152,230861,5091,45350148
106,Nigeria,265382,3155,0,258381,3846,11,1224,15,5441162,25104,216746934
107,Zimbabwe,257409,5602,0,251281,526,12,16790,365,2511501,163814,15331428
108,China,250449,5226,0,242254,2969,36,173,4,160000000,110461,1448471400
109,Uzbekistan,244199,1637,0,241486,1076,23,7103,48,1377915,40077,34382084
110,Mozambique,230219,2221,0,227882,116,11,6957,67,1371127,41437,33089461
111,Brunei,226237,225,0,222140,3872,3,507906,505,717784,1611437,445431
112,Martinique,221618,1044,0,2807254,57448,8,592424,2791,828928,2215870,374087
113,Laos,215843,758,0,2807254,57448,270,28852,101,1233207,164845,7481023
114,Kyrgyzstan,206083,2991,0,196406,6686,131,30629,445,1907195,283460,6728271
115,Iceland,205637,213,0,2807254,57448,2,595371,617,1996384,5780036,345393
116,El Salvador,201785,4229,0,179410,18146,8,30805,646,2610114,398467,6550389
117,Afghanistan,199067,7799,0,177850,13418,1124,4885,191,1103716,27082,40754388
118,Guadeloupe,192801,989,0,2807254,57448,19,482251,2474,938039,2346306,399794
119,Maldives,185042,308,0,163687,21047,25,342046,569,2213831,4092223,540985
120,Trinidad and Tobago,182597,4195,0,174214,4188,18,129816,2982,834508,593287,1406585
121,Uganda,169396,3628,0,100431,65337,3,3498,75,3012408,62198,48432863
122,Namibia,169253,4065,0,164813,375,270,64260,1543,1062663,403460,2633874
123,Ghana,169100,1459,0,167307,334,2,5220,45,2504017,77295,32395450
124,Jamaica,151829,3317,0,99239,49273,270,50862,1111,1183986,396633,2985094
125,Cambodia,137870,3056,0,134745,69,270,8030,178,3069567,178789,17168639
126,Rwanda,132498,1466,0,130955,77,270,9742,108,5816624,427678,13600464
127,Cameroon,121652,1935,0,118616,1101,13,4358,69,1751774,62762,27911548
128,Malta,114652,806,0,113195,651,4,258206,1815,2060900,4641322,444033
129,Angola,103131,1917,0,101155,59,270,2944,55,1499795,42818,35027343
130,Barbados,102546,559,0,101760,227,270,356034,1941,765378,2657350,288023
131,French Guiana,93974,410,0,11254,82310,3,299119,1305,651257,2072951,314169
132,DRC,92852,1442,0,83504,7906,270,975,15,846704,8890,95240792
133,Channel Islands,91561,202,0,90639,720,270,518868,1145,1252808,7099551,176463
134,Senegal,88373,1968,0,86297,108,270,5006,111,1146543,64946,17653671
135,Malawi,88024,2682,0,84872,470,67,4362,133,616772,30562,20180839
136,Ivory Coast,87208,826,0,86338,44,270,3144,30,1628106,58687,27742298
137,Suriname,81106,1385,0,2807254,57448,270,135894,2321,239178,400747,596831
138,French Polynesia,76599,649,0,2807254,57448,7,269559,2284,31370107,2050888,284164
139,New Caledonia,74152,314,0,73823,15,9,254892,1079,98964,340182,290915
140,Eswatini,73390,1422,0,71955,13,11,61942,1200,1045903,882755,1184817
141,Guyana,71336,1281,0,69977,78,270,89839,1613,695695,876141,794045
142,Belize,68826,683,0,68079,64,6,166976,1657,576016,1397453,412190
143,Fiji,68242,878,0,66302,1062,270,75035,965,662620,728581,909466
144,Madagascar,66676,1410,0,65242,24,270,2285,48,512993,17581,29178077
145,Sudan,63285,4961,0,57290,1034,270,1376,108,562941,12240,45992020
146,Mauritania,62812,995,0,61789,28,270,12814,203,970892,198061,4901981
147,Cabo Verde,62371,410,0,61890,71,23,109870,722,401622,707482,567678
